student_id,cgpa,attendance,coding_score,projects,internships,communication_skills,placed
1,8.25,56,70,1,1,5,1
2,8.41,89,46,4,3,4,0
3,6.44,87,38,4,1,9,1
4,7.84,69,92,4,2,10,1
5,8.76,65,89,2,2,5,1
6,8.78,61,46,3,0,6,1
7,8.1,57,93,4,0,7,1
8,6.76,95,81,4,1,9,1
9,8.34,73,45,1,0,7,1
10,8.23,78,55,2,2,5,1
11,8.52,98,44,4,1,8,1
12,6.2,79,69,5,1,9,1
13,8.8,58,64,0,2,7,1
14,6.41,91,75,1,3,7,1
15,8.26,64,68,1,1,9,1
16,6.63,92,89,4,3,6,1
17,9.79,87,98,0,0,10,1
18,8.2,98,89,4,0,7,1
19,9.78,88,67,4,0,9,1
20,8.43,89,69,5,2,4,1
21,6.18,55,68,4,1,8,1
22,9.24,74,60,1,2,10,1
23,9.6,88,35,4,2,7,0
24,9.5,74,65,0,1,8,1
25,5.87,86,43,4,1,5,1
26,9.57,65,68,4,3,5,1
27,8.75,67,74,3,2,7,1
28,7.44,70,63,0,2,4,0
29,6.49,69,35,0,0,5,0
30,5.64,76,44,4,1,6,1
31,6.42,63,95,1,3,10,1
32,5.91,97,90,2,3,7,1
33,8.64,98,47,0,3,9,1
34,9.21,70,59,1,3,5,1
35,6.7,70,44,3,0,4,0
36,7.82,55,46,1,1,7,1
37,6.42,80,42,1,3,4,0
38,6.64,84,71,3,3,5,1
39,6.44,58,42,5,2,4,1
40,7.55,88,55,0,0,10,1
41,8.06,98,65,3,0,8,1
42,8.06,94,45,3,2,6,1
43,8.58,70,68,3,1,9,1
44,7.47,59,36,3,0,4,0
45,7.68,63,79,0,1,6,1
46,7.38,89,73,4,0,9,1
47,6.79,97,48,1,2,4,1
48,8.69,64,69,2,1,9,1
49,8.46,71,97,2,0,4,1
50,9.07,57,35,2,1,9,1
51,6.19,83,89,4,0,4,1
52,9.3,64,39,2,1,7,1
53,6.83,57,80,1,1,9,1
54,8.85,81,54,1,1,10,1
55,9.29,56,57,5,2,10,1
56,8.95,70,69,1,0,7,1
57,9.19,69,60,3,2,6,1
58,9.25,69,38,5,1,7,1
59,9.22,72,79,5,3,9,1
60,7.81,56,49,2,1,8,1
61,6.64,61,90,2,2,7,1
62,7.7,79,59,2,0,9,1
63,7.74,89,60,2,3,4,1
64,9.46,94,75,5,0,9,1
65,7.68,97,87,2,3,9,1
66,6.05,81,83,5,1,8,1
67,7.25,55,73,2,1,7,1
68,8.11,75,94,3,3,9,1
69,7.53,65,45,2,2,4,1
70,8.73,98,74,1,1,5,0
71,6.55,85,44,3,3,9,1
72,8.59,79,98,3,1,5,1
73,5.52,61,89,1,1,10,1
74,7.73,58,66,0,3,5,1
75,8.37,90,75,3,3,10,1
76,7.42,65,95,3,2,10,1
77,8.24,88,97,5,1,6,1
78,8.57,70,69,2,2,8,1
79,6.15,79,54,5,1,4,1
80,6.92,84,88,0,1,10,1
81,9.39,92,37,4,3,7,0
82,7.01,79,88,4,1,7,1
83,7.37,56,84,2,3,9,1
84,7.51,63,38,3,0,4,0
85,6.08,84,58,0,2,7,1
86,7.46,76,83,2,3,6,1
87,7.52,89,41,2,1,9,1
88,9.62,57,38,1,1,10,0
89,6.16,63,95,5,0,8,1
90,7.5,71,82,1,0,10,1
91,9.65,61,38,2,3,7,1
92,6.35,92,66,0,2,10,1
93,8.96,91,40,2,3,9,1
94,7.68,76,36,3,3,4,1
95,7.06,84,54,3,1,9,1
96,8.3,94,96,3,3,10,1
97,6.65,70,46,2,3,5,1
98,7.95,97,83,2,0,7,1
99,6.28,68,80,2,2,6,1
100,8.52,72,36,4,1,4,1
